"","coder","date","newsnm","rptmm","rptdd","rptyy","evmm","evdd","evyy","days","eventid","stories","title","followup","who","what","where","against","purpose","whysm","page","section","paragrph","staten","state1","state2","state3","state4","cityn","city1","city2","neighn","neighbr","particd","particex","partices","groups","igrp1c1","igrp1c2","igrp2c1","igrp2c2","igrp3c1","igrp3c2","targd","targnum","targ1","targ2","ertarg1","ertarg2","smonamed","smonum","smoname1","smoname2","smoname3","smoname4","claim1","val1","claim2","val2","claim3","val3","claim4","val4","form1","form2","form3","form4","act1","act2","act3","act4","viold","violtype","counterd","police1","police2","police3","police4","arrestd","arrestex","arrestes","propdam","dollars","injury","deaths","d_eventid","flag_followup","injprot","injprot_est","injby","injby_est","injpol","injpol_est","injoth","injoth_est","dthprot","dthprot_est","dthby","dthby_est","dthpol","dthpol_est","dthoth","dthoth_est","agenda_code"
"19899","BELINDA SICHULA",2002-04-19,"NYT",8,13,1988,8,12,1988,1,8808026,1,"ATLANTA PROTESTS PROVE MAGNET FOR ABORTION FOES",0,"ANTI-ABORTION PROTESTERS","DEMONSTRATION WITH ARRESTS","ATLANTA, GA","ABORTION CLINICS","ANTI-ABORTION","COLLECTIVE, CLAIMS MADE, PUBLIC",6,"1",31,1,"GA","","","",1,"ATLANTA","",NA,"",1,26,NA,1,1800,NA,NA,NA,NA,NA,1,1,5,NA,NA,NA,1,1,"OPERATION RESCUE","","","",2400,2,NA,NA,NA,NA,NA,NA,1,4,NA,NA,20,59,57,NA,0,NA,0,1,1,0,0,0,26,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208
"2245","SEAN CUNNINGHAM",2000-11-03,"NYT",7,17,1963,7,16,1963,20,6307003,1,"150 PROTEST IN PEORIA",0,"OVER 150 NEGROES","HELD A DEMONSTRATION","THE HEADQUARTERS OF CENTRAL ILLINOIS LIGHT COMPANY IN PEORIA, IL","CENTRAL IL LIGHT COMPANY","TO PROTEST ALLEGED DISCRIMINATIOIN HIRING","COLLECTIVE, CLAIMS MADE, PUBLIC",14,"1",1,1,"IL","","","",1,"PEORIA","",NA,"",1,150,NA,1,401,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1505,1,NA,NA,NA,NA,NA,NA,1,5,NA,NA,45,52,NA,NA,0,NA,0,1,1,0,0,0,36,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"10474","RHONDA CARROLL",NA,"NYT",12,30,1972,12,29,1972,1,7212058,1,"Protesters Score Cooke on Bombing",0,"24 anti-war activists.","Handed out blood-stained leaflets and letter.","Cardinal Cooke's office (Madison Ave and 51st St.).","'Against the Cardinal's visits to troops and to protest renewed bombing in North Vietnam.'","","Collective action, grievances.",7,"1",9,1,"NY","","","",1,"NEW YORK","",NA,"",1,25,NA,1,1100,1800,NA,NA,NA,NA,1,1,2,NA,NA,NA,0,NA,"","","","",711,1,1400,3,NA,NA,NA,NA,2,9,NA,NA,15,28,33,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"1582","MARVIN RUTH",2000-10-11,"NYT",5,7,1962,5,6,1962,1,6205003,1,"STUDENTS PROTEST RENTING BIAS IN RYE",0,"HIGH SCHOOL AND UNIVERSITY STUDENTS","PICKETED","RYE, NY","RYE APARTMENT DEVELOPMENTS","PROTEST REFUSAL TO RENT APARTMENTS TO BLACKS","COLLECTIVE, CLAIMS MADE, PUBLIC",24,"1",5,1,"NY","","","",1,"RYE","",NA,"",1,90,NA,2,800,430,800,401,NA,NA,1,1,2,NA,NA,NA,1,2,"NORTHERN STUDENT MOVEMENT","NEW ENGLAND STUDENT CHRISTIAN MOVEMENT","","",1505,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"2181","MARVIN RUTH",2000-09-04,"NYT",6,15,1963,6,14,1963,1,6306031,1,"STUDENTS PROTEST FLATBUSH ZONING",0,"3600 CHILDREN","BOYCOTTED SCHOOL","BROOKLYN, NY","BOARD OF EDUCATION","PROTEST ZONING AND INTEGRATION SCHEME OF NEW SCHOOL BEING BUILT","COLLECTIVE, CLAIMS MADE, PUBLIC",9,"1",8,1,"NY","","","",1,"BROOKLYN","",NA,"",1,3600,NA,1,700,NA,NA,NA,NA,NA,1,2,1,3,NA,NA,0,NA,"","","","",1501,1,1342,3,NA,NA,NA,NA,14,NA,NA,NA,54,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"13307","ELAINE YEE",2002-03-31,"NYT",1,4,1978,NA,NA,NA,1,7801010,1,"AN INSURER ACCEPTS $1.5 MILLION ACCORD IN JOB BIAS DISPUTE",0,"WOMEN, BLACKS, HISPANICS","FILED LAW SUIT","WASHINGTON DC","FARMERS INSURANCE GROUP","PROTEST JOB DISCRIMINATION (HIRING AND PROMOTION) OF WOMEN, BLACKS, HISPANICS","COLLECTIVE, CLAIMS MADE, PUBLIC",4,"B",9,1,"DC","","","",1,"WASHINGTON","",NA,"",0,NA,2,3,500,NA,401,NA,402,NA,1,1,2,NA,NA,NA,0,NA,"","","","",610,1,1505,1,1805,1,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"20798","LAURA TACH",2004-01-19,"NYT",4,3,1990,NA,NA,1988,14,9004074,1,"OIL COMPANY AGREES TO BUY HOMES OF THOSE WHO SUED IT",1,"RESIDENTS","CAMPED OUT AT STATE CAPITOL","OKLAHOMA CITY","STATE GOVERNMENT","TO CONVINCE THE STATE TO BUY THEIR HOUSES FOR TOXIC WATERS","COLLECTIVE, CLAIMS MADE, PUBLIC",16,"1",13,1,"OK","","","",1,"OKLAHOMA CITY","",NA,"",0,NA,3,1,1500,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1113,1,1350,1,NA,NA,NA,NA,98,NA,NA,NA,39,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701
"14144","STEPHANIE",2001-04-02,"NYT",4,29,1979,4,NA,1979,1,7904131,1,"8000 PROTEST NUCLEAR POWER AT COLORADO WEAPONS PLANT",0,"700 NUCLEAR PLANT WORKERS","PETITION","GOLDEN, CO","ENERGY DEPT. AND ROCKWELL INTERNATIONAL","TAKING CRITICISMS OF RADIATION CONTAMINATION","COLLECTIVE, CLAIMS MADE, PUBLIC",26,"A",8,1,"CO","","","",1,"GOLDEN","",NA,"",1,700,NA,1,100,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",200,1,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,18,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801
"14932","STACY",2003-02-02,"NYT",2,8,1980,2,7,1980,1,8002021,1,"URBAN LEAGUE HEAD SAYS KOCH LACKS UNDERSTANDING",0,"NEW YORK URBAN LEAGUE","RELEASED REPORT AT NEWS CONFERENCE","NYC","MAYOR KOCH","REPORT WORSENING CONDITIONS OF BLACKS","COLLECTIVE, CLAIMS MADE, PUBLIC",3,"2",13,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1500,401,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"NEW YORK URBAN LEAGUE","","","",1517,1,1500,1,NA,NA,NA,NA,15,9,NA,NA,34,15,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1302
"21182","TODD",2002-08-05,"NYT",1,11,1991,1,10,1991,1,9101022,1,"JUDGE IS FIRM ON FORCED CONTRACEPTION, BUT WELCOMES AN APPEAL",0,"DARLENE JOHNSON","FILED APPEAL","CA","SUPERIOR COURT","VIOLATION OF RIGHTS/FORCED BIRTH CONTROL","COLLECTIVE, CLAIMS MADE, PUBLIC",17,"A",20,1,"CA","","","",1,"VISALIA","",NA,"",1,1,NA,1,500,1800,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",2400,2,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208
"5935","SANDY MYSKOWSKI",NA,"NYT",7,28,1967,7,27,1967,3,6707095,1,"FIRES IN SACRAMENTO",0,"BLACK YOUTH","RIOT","SACRAMENTO","UNCLEAR","CIVIL RIGHTS","COLLECTIVE, CLAIMS MADE, PUBLIC",13,"1",4,1,"CA","","","",1,"SACRAMENTO","",1,"OAK PARK DISTRICT",0,NA,3,1,401,700,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,"","","","",1500,1,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,61,62,NA,NA,1,1,0,1,0,0,0,NA,NA,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"22723","ADA YEE",2005-02-23,"NYT",1,9,1994,11,NA,1993,1,9401013,1,"MISSISSIPPI TOWN ROILED BY LESBIANS  PLANS FOR WOMENS CAMP",1,"TOWNSPEOPLE FROM OVETT, MISSISSIPPI","HELD A MEETING, COLLECTED MONEY","JONES COUNTY COURTHOUSE, ELLISVILLE, MISSISSIPPI","A LESBIAN COUPLE TRYING TO START A RETREAT IN THE TOWN","TO GET COUPLE TO LEAVE","COLLECTIVE, CLAIMS MADE, PUBLIC",14,"1",15,1,"MS","","","",1,"ELLISVILLE","",1,"NEAR OVETT",1,400,NA,1,1800,1500,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,"FIRST BAPTIST CHURCH IN RICHTON","","","",1600,2,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,9,98,NA,NA,0,NA,0,1,0,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202
"14348","CLIU",2003-01-14,"NYT",7,3,1979,NA,NA,NA,1,7907022,1,"GUIDELINES PENALTY SURVIVES CHALLENGE",1,"AFL-CIO","FILED APPEAL","WASH DC","PRESIDENT","CHARGING PRES. DOESNT HAVE AUTHORITY TO USE GOVT PURCHASING POWER TO ENFORCE PRICE AND WAGE GUIDE","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"A",22,1,"DC","","","",0,"","",NA,"",0,NA,1,1,1200,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1338,2,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000
"1967","LEAH MILLER",2000-09-20,"NYT",4,14,1963,4,13,1963,1,6304030,1,"BIRMINGHAM JAILS SIX MORE NEGROES",0,"6 NEGROES","DEMONSTRATED/PICKETED A DISCOUNT CENTER","BIRMINGHAM, AL","BUSINESS/GOVT.","AGAINST SEGREGATION","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"1",3,1,"AL","","","",1,"BIRMINGHAM","",NA,"",1,6,NA,1,401,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,0,NA,"","","","",1501,1,NA,NA,NA,NA,NA,NA,4,5,NA,NA,20,45,NA,NA,0,NA,0,1,1,1,0,0,6,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"4372","RACHEL ZAPP",NA,"NYT",9,7,1965,9,6,1965,1,6509016,1,"SHOTS ARE DIRECTED AT 3 NEGRO HOMES",0,"WHITES","FIRED SHOTS INTO VOTER REGISTRATION WORKERS HOME","FLORENCE, MS","GOVERNMENT/JAMES JONES","ANTI-CIVIL RIGHTS","ETHNIC / RACIAL VIOLENCE",37,"4",7,1,"MS","","","",1,"FLORENCE","",0,"",0,NA,1,1,430,1800,NA,NA,NA,NA,1,2,1,7,401,NA,0,NA,"","","","",2504,1,1500,2,1502,2,NA,NA,11,NA,NA,NA,55,NA,NA,NA,1,1,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"11858","JAN",NA,"NYT",6,28,1975,6,27,1975,1,7506040,1,"indians here organize to protest crackdown`",0,"indians","organization formation","new york","","to reaffirm the faith of indians in democratic values","COLLECTIVE, CLAIMS MADE, PUBLIC",8,"1",2,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,4,NA,NA,NA,1,1,"indians for democracy","","","",1334,1,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,98,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209
"8894","KAREN CLADWELL -",NA,"NYT",10,31,1970,10,30,1970,NA,7010053,1,"3 bombs damage buildings in city",0,"unknown","3 bombs exploded, all 3 explosions were coordinated","A United States Militia Armory in Queens; Motorcycle Precinct One in the Bronx, and the Army Reserve Center in Queens","not stated","","susspicious bombing",1,"1",24,1,"NY","","","",1,"NEW YORK","",1,"BRONX",0,NA,1,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",712,2,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,62,56,NA,NA,1,5,0,0,NA,0,0,0,0,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1614
"19980","BELINDA SICHULA",2002-04-24,"NYT",10,13,1988,10,4,1988,8,8810009,3,"VATICAN MOVES TO END A PROTEST BY JERSEY NUNS",0,"CARMELITE NUNS","SECLUDED THEMSELVES IN MONASTARY'S INFIRMARY","MONASTARY OF THE MOST BLESSED VIRGIN OF MOUNT CARMEL IN CLIFTON, NJ","THE NEW PRIORESS","PROTESTING MODERNIZING OF LIFE IN MONASTARY","COLLECTIVE, CLAIMS MADE, PUBLIC",4,"B",47,1,"NJ","","","",1,"CLIFTON","",NA,"",1,5,NA,1,1100,500,NA,NA,NA,NA,1,1,6,NA,NA,NA,0,NA,"","","","",1351,3,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,54,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3100
"12073","LEANNA",NA,"NYT",12,14,1975,12,13,1975,1,7512007,1,"RIGHTS UNITS SCORE HEW ENFORCEMENT",0,"COALITION OF 57 GROUPS","WROTE A LETTER TO SECRETARY OF HEALTH, EDUCATION, AND WELFARE","WASHINGTON, DC","DEPARTMENT OF HEALTH, EDUCAT","OUTLINE PROBLEMS WITH ENFORCEMENT OF CIVIL RIGHTS LAWS","COLLECTIVE, CLAIMS MADE, PUBLIC",NA,"1",3,1,"DC","","","",1,"WASHINGTON","",NA,"",0,NA,4,3,500,1800,1400,1800,400,1800,1,1,1,NA,NA,NA,0,NA,"","","","",600,1,2100,1,2300,1,NA,NA,9,NA,NA,NA,66,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202
"20485","Amanda",2001-11-29,"NYT",10,4,1989,10,3,1989,1,8910006,1,"MINORITY STUDENTS WALK OUT OVER A TEACHERS REMARKS",0,"students","marched to police station","Brooklyn","police","TO PROTEST STUDENT PROTESTERS ARREST","COLLECTIVE, CLAIMS MADE, PUBLIC",3,"B",18,1,"NY","","","",1,"NEW YORK","",1,"Brooklyn",1,300,NA,1,800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1334,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,22,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209
"13746","CARISSA WONG",2002-01-31,"NYT",6,19,1978,NA,NA,NA,1,7806038,1,"THE HANDICAPPED ARE EMERGING AS A VOCAL POLITICAL ACTION GROUP",0,"GROUPS REPRESENTING THE DISABLED","PUSHING A BILL IN CONGRESS","WASHINGTON, DC","GOVERNMENT AND BUSINESS","TO GAIN EQUAL PAY FOR THE DISABLED","COLLECTIVE, CLAIMS MADE, PUBLIC",16,"A",26,1,"DC","","","",1,"WASHINGTON","",NA,"",0,NA,3,1,1400,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,0,NA,"","","","",2100,1,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,40,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205
"13253","BELINDA SICHULA",2001-12-09,"NYT",12,15,1977,12,14,1977,1,7712043,1,"FARMERS STRIKE GETS UNDER WAY WITH MIXED RESULTS",0,"FARMERS","STOPPED TRAIN","STATESBORO, GA","GOVT.","100% PARTY","COLLECTIVE, CLAIMS MADE, PUBLIC",19,"1",25,1,"GA","","","",1,"STATESBORO","",NA,"",0,NA,2,1,100,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"AMERICAN AGRICULTURE","","","",400,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,57,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499
"4922","MARVIN RUTH",NA,"NYT",5,6,1966,5,5,1966,1,6605017,1,"STUDENTS CLASH HERE ON VIETNAM",0,"STUDENTS AT CITY COLLEGE","PROTESTED VIETNAM WAR","CITY COLLEGE IN NEW YORK CITY","GOVERNMENT AND ITS POLICY","PROTEST VIETNAM WAR","COLLECTIVE, CLAIMS MADE, PUBLIC",5,"1",20,1,"NY","","","",1,"NEW YORK","",1,"CITY COLLEGE",1,250,NA,1,800,1800,NA,NA,NA,NA,1,2,1,3,NA,NA,0,NA,"","","","",711,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,65,57,28,20,1,2,1,1,1,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"2885","MONICA LOPEX",2000-06-09,"NYT",2,16,1964,2,15,1964,1,6402039,1,"NEGORE'S HOME IS SET AFIRE IN WHITE NEIGHBORHOOD",0,"UNKNOWN GROUP","SET A HOUSE ON FIRE","BLACK NEIGHBORHOOD","A BLACK FAMILY","BLACK HATE CRIME","COLLECTIVE, CLAIMS MADE, PUBLIC",67,"1",3,1,"OH","","","",1,"WARREN","",NA,"",0,NA,1,1,1800,NA,NA,NA,NA,NA,1,1,7,NA,401,NA,0,NA,"","","","",2504,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,55,62,NA,NA,1,1,0,0,NA,0,0,NA,NA,NA,1,5000,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"11066","JENNY",NA,"NYT",11,2,1973,11,1,1973,1,7311008,1,"College Bomber Sent to Prison",0,"200 people","Demonstrated-chanted and sang","Front of courthouse.  Madison, WI","To protest the trail of Armstrong","","Collective, unconventional, claim made",7,"1",18,1,"WI","","","",1,"MADISON","",NA,"",1,200,NA,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",702,1,700,1,NA,NA,NA,NA,1,NA,NA,NA,28,42,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1605
"6228","MONICA LOPEX",NA,"NYT",10,24,1967,10,23,1967,1,6710060,2,"ATLANTA DISORDERS FLARE FOR 2ND NIGHT",0,"BLACK DEMONSTRATORS","DESTROYED PROPERTY","ATLANTAS SLUM DISTRICT","AGAINST THE CITY","TO PROTEST POLICE BRUTALITY","COLLECTIVE, CLAIMS MADE, PUBLIC",37,"1",3,1,"GA","","","",1,"ATLANTA","",NA,"",1,100,NA,1,1800,401,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",1518,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,62,NA,NA,NA,1,1,0,1,1,0,0,0,0,NA,1,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"14916","stacy buechele",2000-12-06,"NYT",1,31,1980,1,30,1980,1,8001055,1,"fights at columbia mark draft protest",0,"students","rally","yale university","government","oppose draft","COLLECTIVE, CLAIMS MADE, PUBLIC",6,"b",2,1,"CT","","","",1,"NEW HAVEN","",NA,"",1,300,NA,1,800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,0,NA,"","","","",723,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,27,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1619
"22290","SO-YOUN KIM",2004-04-03,"NYT",2,27,1993,2,26,1993,1,9302022,4,"JUDGE ALLOWS GROUP TO BAR GAY MARCHERS",0,"GAY GROUP","FILE SUIT BUT FAIL","NEW YORK CITY","CITY","TO GET PLACE IN PARADE","COLLECTIVE, CLAIMS MADE, PUBLIC",21,"6",28,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"IRISH LESBIAN AND GAY ORGANIZATION","","","",1600,1,1340,1,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202
"380","CARISSA WONG",2001-06-14,"NYT",4,10,1960,4,9,1960,1,6004045,1,"WOOLWORTH PICKETED HERE",0,"UNIONISTS OF AMALGAMATED LAUNDRY WORKERS JOINT BOARD","WALKED QUIETLY AND CARRIED PLACARDS","NEW YORK CITY WOOLWORTH STORE","BUSINESS AND GOVERNMENT","EQUALITY AND DESEGREGATION","COLLECTIVE, CLAIMS MADE, PUBLIC",53,"1",9,1,"NY","","","",1,"NEW YORK","",1,"HERALD SQUARE",0,NA,3,1,1200,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,1,1,"AMALGAMATED LAUNDRY WORKERS JOINT BOARD","","","",1501,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,20,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201
"15280","STACY BUECHELE",2001-06-05,"NYT",6,29,1980,6,28,1980,1,8006071,1,"ABORTION FACILITY CHALLENGE BABYLON",0,"WOMEN'S PAVILION OF DEER PARK","FILED INJUNCTION","BABYLON TOWN","ANTI-ABORTION ACTIVISTS","TO HALT NUMEROUS SUMMONSES","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"2",16,1,"NY","","","",1,"BABYLON","",NA,"",0,NA,1,1,100,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,1,1,"WOMEN'S PAVILION OF DEER PARK","","","",2400,1,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208
"18529","LAURA TACH",2002-02-11,"NYT",11,9,1985,10,NA,1985,1,8511029,1,"F.B.I. SAYS JEWISH DEFENSE LEAGUE MAY HAVE PLANTED FATAL BOMBS",1,"JEWISH DEFENSE LEAGUE","BOMBING","LOS ANGELES, CA","ARABS","TERRORIST SENTIMENTS","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"1",22,1,"CA","","","",1,"LOS ANGELES","",NA,"",0,NA,2,1,1800,432,NA,NA,NA,NA,1,1,7,NA,434,NA,1,1,"JEWISH DEFENSE LEAGUE","","","",1400,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,45,62,NA,NA,1,1,0,0,NA,0,0,NA,NA,NA,0,NA,0,1,"D-8511029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,201
"23109","WENKAI TAY",NA,"NYT",12,28,1994,12,28,1994,1,9412132,1,"CHAOS PRESIDES IN NEW YORK HOUSING COURTS",0,"RENT STABILIZATION ASSOCIATION A GROUP OF SMALL LANDLORDS","FILED CLASS ACTION LAWSUIT","NYC","CITY COURTS","ALLEGE HOUSING COURTS ARE BIASED AGAINST PROPERTY OWNERS","COLLECTIVE, CLAIMS MADE, PUBLIC",1,"A",33,1,"NY","","","",1,"NEW YORK","",NA,"",0,NA,2,1,1800,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,"RENT STABILIZATION ASSOCIATION","","","",1318,2,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,97,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1401
"12062","SAM",NA,"NYT",11,29,1975,11,29,1975,1,7511044,1,"NEIGHBORS PROTEST PLAN TO SHUT FIREHOUSE HERE",0,"RESIDENTS","SIT-IN","BROOKLYN","CITY","PROTEST CLOSING OF FIREHOUSE","COLLECTIVE, CLAIMS MADE, PUBLIC",31,"1",9,1,"NY","","","",1,"BROOKLYN","",1,"GREENPOINT",0,NA,2,1,1500,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,2,"RESIDENTS ASSOCIATION TO BLOCK THE CLOSING","NORTHSIDE COMMUNITY DEVELOPMENT COUNCIL","","",1400,3,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,52,NA,NA,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1209
